Brand,Names,Prices,Url
Transcend,1TB USB 3.1 StoreJet Shock Resistant Portable Hard Drive- Black,"₦ 20,790 ",https://www.jumia.com.ng/transcend-1tb-usb-3.1-storejet-shock-resistant-portable-hard-drive-black-13431866.html
Seagate,Backup Plus Slim 1TB Portable Storage,"₦ 16,500 ",https://www.jumia.com.ng/seagate-backup-plus-slim-1tb-portable-storage-22582685.html
Apple,MacBook Pro 13.3 SILVER/1.4GHZ/256GB - GBR - NEW 2019 MODEL,"₦ 620,750 ",https://www.jumia.com.ng/apple-macbook-pro-13.3-silver1.4ghz256gb-gbr-new-2019-model-44279191.html
Lenovo,"Ideapad S145 Intel Celeron 4GB RAM 1TB HDD 15.6"" Win 10","₦ 79,900 ",https://www.jumia.com.ng/lenovo-ideapad-s145-intel-celeron-4gb-ram-1tb-hdd-15.6-win-10-44488929.html
Western Digital,500gb External Harddrive WD,"₦ 8,999 ",https://www.jumia.com.ng/500gb-external-harddrive-wd-western-digital-wd-mpg303589.html
Eaget,Eaget U96 32GB USB 3.0 Metal OTG Flash Drive,"₦ 2,990 ",https://www.jumia.com.ng/eaget-eaget-u96-32gb-usb-3.0-metal-otg-flash-drive-41426796.html
Microsoft,"Surface Pro 5 (Intel Core I7, 8GB RAM, 256GB SSD)","₦ 410,000 ",https://www.jumia.com.ng/microsoft-surface-pro-5-intel-core-i7-8gb-ram-256gb-ssd-25914990.html
Microsoft,"Microsoft Lifecam HD 3000 WebCam (Approved For WAEC,NECO & JAMB Reg)","₦ 19,500 ",https://www.jumia.com.ng/microsoft-microsoft-lifecam-hd-3000-webcam-approved-for-waecneco-jamb-reg-45109336.html
Microsoft,WINDOWS 10 Pro 64&32 BIT  DELIVERY GENUINE PRODUCT KEY,"₦ 2,600 ",https://www.jumia.com.ng/microsoft-windows-10-pro-6432-bit-delivery-genuine-product-key-45072887.html
Seagate,500GB Portable External Hard Drive,"₦ 8,980 ",https://www.jumia.com.ng/seagate-500gb-portable-external-hard-drive-43472642.html
Hp,"15-DW0037 Core I3 8145U 8th Gen 1TB 8GB 15.6"" (1366x768) BT WIN10 Webcam + Wireless Mouse","₦ 123,900 ",https://www.jumia.com.ng/hp-15-dw0037-core-i3-8145u-8th-gen-1tb-8gb-15.6-1366x768-bt-win10-webcam-wireless-mouse-45060465.html
,LTE 4G USB Modem With Wi-fi Hot-spot & Micro SD Card Slot,"₦ 7,000 ",https://www.jumia.com.ng/generic-lte-4g-usb-modem-with-wi-fi-hot-spot-micro-sd-card-slot-42879036.html
Hp,SPECTRA 15 CORE I7  8TH  GENERATION 512SSD 16GB WINDOWS 10,"₦ 490,000 ",https://www.jumia.com.ng/hp-spectra-15-core-i7-8th-generation-512ssd-16gb-windows-10-44053225.html
Apple,"MacBook Pro  13.3"" 128GB 8GB Touchbar 1.4ghz   2019, Space Gray  I5  MUHN2LL/A","₦ 445,000 ",https://www.jumia.com.ng/apple-macbook-pro-13.3-128gb-8gb-touchbar-1.4ghz-2019-space-gray-i5-muhn2lla-43155932.html
Lenovo,Ideapad 4GBRAM/500 HDD Intel Celeron Dual Core Windows 10 +free Mouse,"₦ 84,990 ",https://www.jumia.com.ng/lenovo-ideapad-4gbram500-hdd-intel-celeron-dual-core-windows-10-free-mouse-35718982.html
Lenovo,"Ideapad  4GBRAM - 1TB HDD Intel Celeron Dual Core= 32GB Flash, Mouse - USB Light - Up To 2.4Ghz) Windows 10 Laptop","₦ 79,500 ",https://www.jumia.com.ng/lenovo-ideapad-4gbram-1tb-hdd-intel-celeron-dual-core-32gb-flash-mouse-usb-light-up-to-2.4ghz-windows-10-laptop-33328237.html
Dolphin Wills,Rechargeable Wireless Mouse - No Need For Battery Again,"₦ 4,499 ",https://www.jumia.com.ng/ultra-slick-rechargeable-wireless-mouse-no-need-for-battery-again-dolphin-wills-mpg271726.html
Hp,"Envy X360 15 Intel Core I7 8550U (16GB RAM,512SSD,4GB NVIDIA GeForce +1TB External HDD) Wins 10 + Bag","₦ 450,000 ",https://www.jumia.com.ng/hp-envy-x360-15-intel-core-i7-8550u-16gb-ram512ssd4gb-nvidia-geforce-1tb-external-hdd-wins-10-bag-31500587.html
Hp,15 Intel Celeron QuadCore(500GB HDD 4GB RAM)+ Free 32GB Flash  Wins 10,"₦ 82,800 ",https://www.jumia.com.ng/hp-15-intel-celeron-quadcore500gb-hdd-4gb-ram-free-32gb-flash-wins-10-25589734.html
Hp,Gaming Pavilion 15 CX0045NR Intel Core I7 Laptop 15.6 Inch 16 GB RAM 1 TB Hard Drive,"₦ 320,000 ",https://www.jumia.com.ng/hp-gaming-pavilion-15-cx0045nr-intel-core-i7-laptop-15.6-inch-16-gb-ram-1-tb-hard-drive-32410789.html
Hp,"Pavilion 15 Intel Core I7,1TB HDD,16GB Optane Memory 8GB RAM Touchscreen Wins 10","₦ 255,000 ",https://www.jumia.com.ng/hp-pavilion-15-intel-core-i71tb-hdd16gb-optane-memory-8gb-ram-touchscreen-wins-10-45375855.html
Seagate Technology,Seagate 500GB Sata Desktop Hard Disk,"₦ 6,000 ",https://www.jumia.com.ng/seagate-technology-seagate-500gb-sata-desktop-hard-disk-42815212.html
Lenovo,Ideapad S Series Intel Celeron 1TB HDD 4GB DDR4 Windows 10,"₦ 79,990 ",https://www.jumia.com.ng/lenovo-ideapad-s-series-intel-celeron-1tb-hdd-4gb-ddr4-windows-10-44487500.html
DELL,Alienware Alpha R2 USFF Core I7 16GB 1TB Gaming PC,"₦ 397,500 ",https://www.jumia.com.ng/dell-alienware-alpha-r2-usff-core-i7-16gb-1tb-gaming-pc-45141499.html
Apple,"Macbook Air 13.3"" Intel Core I5 1.8GHz (128GB,8GB) MQD32 - Silver (US Keyboard)","₦ 320,000 ",https://www.jumia.com.ng/macbook-air-13.3-intel-core-i5-1.8ghz-128gb8gb-mqd32-silver-us-keyboard-apple-mpg124517.html
Apple,"MacBook Air 13 Inch 2017YR (1.8GHz Intel Core I5 Dual Core Processor, 8GB RAM, 128GB SSD)  Silver","₦ 335,000 ",https://www.jumia.com.ng/apple-macbook-air-13-inch-2017yr-1.8ghz-intel-core-i5-dual-core-processor-8gb-ram-128gb-ssd-silver-25536651.html
Hp,"15 AMD DUAL CORE E2 9000e 500GB HDD, 4GB RAM, Windows 10+ Free 32gb Flash Drive","₦ 77,500 ",https://www.jumia.com.ng/hp-15-amd-dual-core-e2-9000e-500gb-hdd-4gb-ram-windows-10-free-32gb-flash-drive-26855185.html
SanDisk,32GB Memory Card + Adapter 100% Durability,"₦ 2,999 ",https://www.jumia.com.ng/sandisk-32gb-memory-card-adapter-100-durability-24831940.html
Taiwan,32GB Mobile Phone Memory Card TF Card Driving Recorder,"₦ 1,800 ",https://www.jumia.com.ng/taiwan-32gb-mobile-phone-memory-card-tf-card-driving-recorder-40270596.html
Hp,ENVY X360 â€“ 15-CN0003CA Intel Core I7 Laptop 15.6 Inch 16GB 512GB SSD Windows 10,"₦ 370,000 ",https://www.jumia.com.ng/hp-envy-x360-a-15-cn0003ca-intel-core-i7-laptop-15.6-inch-16gb-512gb-ssd-windows-10-43574420.html
Microsoft,"Microsoft Lifecam HD 3000 WebCam (Approved For WAEC,NECO & JAMB Reg)","₦ 21,500 ",https://www.jumia.com.ng/microsoft-microsoft-lifecam-hd-3000-webcam-approved-for-waecneco-jamb-reg-45140745.html
Hp,64GB Pendrive Flash Drive USB 2.0,"₦ 3,990 ",https://www.jumia.com.ng/hp-64gb-pendrive-flash-drive-usb-2.0-36235059.html
Sharp,AR-6020 SHARP COPIER MACHINE,"₦ 200,000 ",https://www.jumia.com.ng/sharp-ar-6020-sharp-copier-machine-34730446.html
Hp,"Envy X360 15 Intel Core I7 8550U (16GB RAM,512SSD,4GB NVIDIA GeForce +1TB External HDD) Windows 10 - Silver","₦ 450,000 ",https://www.jumia.com.ng/envy-x360-15-intel-core-i7-8550u-16gb-ram512ssd4gb-nvidia-geforce-1tb-external-hdd-windows-10-silver-hp-mpg311341.html
Hp,"Envy 17 - Core I7 4GB Nvidia 179.3"", (16GB + 512 SSD)  Windows 10","₦ 353,000 ",https://www.jumia.com.ng/hp-envy-17-core-i7-4gb-nvidia-179.3-16gb-512-ssd-windows-10-45140044.html
Hp,Pavilion 15-ck07 8th Generation Intel Quad Core I5-8250U 1.6Ghz 1TB HDD 8GB RAM 15 Inch Touch Win 10 With Free Laptop Bag,"₦ 265,000 ",https://www.jumia.com.ng/hp-pavilion-15-ck07-8th-generation-intel-quad-core-i5-8250u-1.6ghz-1tb-hdd-8gb-ram-15-inch-touch-win-10-with-free-laptop-bag-23063141.html
Hp,"Envy 17 - Core I7 4GB Nvidia 179.3"", (16GB + 512 SSD)  Windows 10","₦ 355,000 ",https://www.jumia.com.ng/hp-envy-17-core-i7-4gb-nvidia-179.3-16gb-512-ssd-windows-10-45110689.html
Hp,ENVY X360 â€“ 15-CN0003CA Intel Core I7 Laptop 15.6 Inch 16GB 512GB SSD,"₦ 350,000 ",https://www.jumia.com.ng/envy-x360-15-cn0003ca-intel-core-i7-laptop-15.6-inch-16gb-512gb-ssd-hp-mpg329721.html
Hp,"Spectre X360 13.3"" FHD Intel I7-8565U CPU,16GB RAM,512GB SSD, Window 10 + MOUSE","₦ 460,000 ",https://www.jumia.com.ng/hp-spectre-x360-13.3-fhd-intel-i7-8565u-cpu16gb-ram512gb-ssd-window-10-mouse-32169202.html
Microsoft,"MICROSOFT SURFACE PRO INTEL CORE I5 8GB RAM, 128GB SSD WINDOWS 10 - GREY","₦ 325,000 ",https://www.jumia.com.ng/microsoft-microsoft-surface-pro-intel-core-i5-8gb-ram-128gb-ssd-windows-10-grey-13394850.html
Hp,"PAVILION 15 GAMING 8Th Intel Core I7,,2TB HDD,16GB RAM,Nvidia Geforce GTX 1050 4GB,15.6'' ,Windows 10,2.3GHZ","₦ 320,000 ",https://www.jumia.com.ng/hp-pavilion-15-gaming-8th-intel-core-i72tb-hdd16gb-ramnvidia-geforce-gtx-1050-4gb15.6-windows-102.3ghz-32105015.html
Apple,"MACBOOK PRO RETINA, 13"" Core I5 2.3GHz 8GB Ram- 128GB Ssd Mid 2017","₦ 440,000 ",https://www.jumia.com.ng/apple-macbook-pro-retina-13-core-i5-2.3ghz-8gb-ram-128gb-ssd-mid-2017-38315105.html
Hp,Pavilion 14 X360 Intel Core I5-2TB/16GB Digital Pen+Bag Win10,"₦ 310,000 ",https://www.jumia.com.ng/hp-pavilion-14-x360-intel-core-i5-2tb16gb-digital-penbag-win10-32105009.html
,Anti Theft Laptop Bag USB Interface Backpack Durable Grey,"₦ 6,294 ",https://www.jumia.com.ng/generic-anti-theft-laptop-bag-usb-interface-backpack-durable-grey-44547581.html
DELL,"Inspiron G5 15 - Core I7, 8th Gen, 128GB SSD, 1TB HDD, 8GB RAM, Nvidia RTX 2060, 6GB Memory.","₦ 420,000 ",https://www.jumia.com.ng/dell-inspiron-g5-15-core-i7-8th-gen-128gb-ssd-1tb-hdd-8gb-ram-nvidia-rtx-2060-6gb-memory.-42872739.html
,"300Mbps Wireless WiFi Repeater/Extender/AP/WI-FI Signal Range Amplifier/Booster, Mini 2.4G Portable WiFi Signal Range Extender With WPS For Router Home","₦ 5,200 ",https://www.jumia.com.ng/generic-300mbps-wireless-wifi-repeaterextenderapwi-fi-signal-range-amplifierbooster-mini-2.4g-portable-wifi-signal-range-extender-with-wps-for-router-home-33982037.html
DELL,Inspiron 15 Intel Celeron 500GB HDD 4GB RAM Wins 10 +32GB Flash Drive,"₦ 95,500 ",https://www.jumia.com.ng/dell-inspiron-15-intel-celeron-500gb-hdd-4gb-ram-wins-10-32gb-flash-drive-27950120.html
,Computer Accessories 1600DPI 2.4GHz Rechargeable Wireless Mouse Silent Button Slim USB Optical Mice,"₦ 1,899 ",https://www.jumia.com.ng/generic-computer-accessories-1600dpi-2.4ghz-rechargeable-wireless-mouse-silent-button-slim-usb-optical-mice-17156659.html
,"Life Saving Unisex Blue Light Blocking Glasses For Computer Use, Anti Eyestrain UV Filter Lens Lightweight Frame Eyeglasses, Black.","₦ 3,000 ",https://www.jumia.com.ng/generic-life-saving-unisex-blue-light-blocking-glasses-for-computer-use-anti-eyestrain-uv-filter-lens-lightweight-frame-eyeglasses-black.-42268009.html
Hp,Envy 17– Intel® Core I7 1TB HDD/16GB RAM 4GB Dedicated+MOUSE,"₦ 323,000 ",https://www.jumia.com.ng/envy-17-intelr-core-i7-1tb-hdd16gb-ram-4gb-dedicatedmouse-hp-mpg285399.html
Surface,"Microsoft Surface Pro 5 (Intel Core I5, 8GB RAM, 256GB)","₦ 390,000 ",https://www.jumia.com.ng/surface-microsoft-surface-pro-5-intel-core-i5-8gb-ram-256gb-40085766.html
Hp,"Mini Laptop Intel Celeron 1TB HDD,4GB Ram,32GB Emmc Wins10s 11.6+Free Mouse","₦ 86,900 ",https://www.jumia.com.ng/hp-mini-laptop-intel-celeron-1tb-hdd4gb-ram32gb-emmc-wins10s-11.6free-mouse-35788960.html
