Brand,Names,Prices,Url
Sharp,AR-6020 SHARP COPIER MACHINE,"₦ 200,000 ",https://www.jumia.com.ng/sharp-ar-6020-sharp-copier-machine-34730446.html
DELL,Inspiron 11 3000 Series 500gb 4gb 11.6’’ Multi-Touch 2-in-1 Notebook (Red),"₦ 123,000 ",https://www.jumia.com.ng/dell-inspiron-11-3000-series-500gb-4gb-11.6-multi-touch-2-in-1-notebook-red-40270412.html
Hp,Pavilion 15-ck07 8th Generation Intel Quad Core I5-8250U 1.6Ghz 1TB HDD 8GB RAM 15 Inch Touch Win 10 With Free Laptop Bag,"₦ 265,000 ",https://www.jumia.com.ng/hp-pavilion-15-ck07-8th-generation-intel-quad-core-i5-8250u-1.6ghz-1tb-hdd-8gb-ram-15-inch-touch-win-10-with-free-laptop-bag-23063141.html
Hp,"Envy 17 - Core I7 4GB Nvidia 179.3"", (16GB + 512 SSD)  Windows 10","₦ 355,000 ",https://www.jumia.com.ng/hp-envy-17-core-i7-4gb-nvidia-179.3-16gb-512-ssd-windows-10-45110689.html
Hp,ENVY X360 â€“ 15-CN0003CA Intel Core I7 Laptop 15.6 Inch 16GB 512GB SSD,"₦ 350,000 ",https://www.jumia.com.ng/envy-x360-15-cn0003ca-intel-core-i7-laptop-15.6-inch-16gb-512gb-ssd-hp-mpg329721.html
Hp,"Spectre X360 13.3"" FHD Intel I7-8565U CPU,16GB RAM,512GB SSD, Window 10 + MOUSE","₦ 460,000 ",https://www.jumia.com.ng/hp-spectre-x360-13.3-fhd-intel-i7-8565u-cpu16gb-ram512gb-ssd-window-10-mouse-32169202.html
Microsoft,"MICROSOFT SURFACE PRO INTEL CORE I5 8GB RAM, 128GB SSD WINDOWS 10 - GREY","₦ 325,000 ",https://www.jumia.com.ng/microsoft-microsoft-surface-pro-intel-core-i5-8gb-ram-128gb-ssd-windows-10-grey-13394850.html
Apple,"MACBOOK PRO RETINA, 13"" Core I5 2.3GHz 8GB Ram- 128GB Ssd Mid 2017","₦ 440,000 ",https://www.jumia.com.ng/apple-macbook-pro-retina-13-core-i5-2.3ghz-8gb-ram-128gb-ssd-mid-2017-38315105.html
DELL,"Inspiron G5 15 - Core I7, 8th Gen, 128GB SSD, 1TB HDD, 8GB RAM, Nvidia RTX 2060, 6GB Memory.","₦ 420,000 ",https://www.jumia.com.ng/dell-inspiron-g5-15-core-i7-8th-gen-128gb-ssd-1tb-hdd-8gb-ram-nvidia-rtx-2060-6gb-memory.-42872739.html
SanDisk,32GB Memory Card + Adapter 100% Durability,"₦ 2,999 ",https://www.jumia.com.ng/sandisk-32gb-memory-card-adapter-100-durability-24831940.html
,Computer Accessories 1600DPI 2.4GHz Rechargeable Wireless Mouse Silent Button Slim USB Optical Mice,"₦ 1,899 ",https://www.jumia.com.ng/generic-computer-accessories-1600dpi-2.4ghz-rechargeable-wireless-mouse-silent-button-slim-usb-optical-mice-17156659.html
Hp,"Stream 14-Intel Celeron N3060  4GB RAM, 32GB SSD Windows 10","₦ 68,000 ",https://www.jumia.com.ng/hp-stream-14-intel-celeron-n3060-4gb-ram-32gb-ssd-windows-10-44147617.html
DELL,G5 G5590 GAMING CI5-8300H 2.3GHZ 1TB+128SSD 8GBRAM 4GBNVIDIA,"₦ 297,500 ",https://www.jumia.com.ng/dell-g5-g5590-gaming-ci5-8300h-2.3ghz-1tb128ssd-8gbram-4gbnvidia-44072682.html
Hp,"250 Intel Celeron Quad Core (4GBRAM,500GB HDD) Windows 10 Laptop","₦ 84,500 ",https://www.jumia.com.ng/hp-250-intel-celeron-quad-core-4gbram500gb-hdd-windows-10-laptop-10197493.html
Hp,"Probook 440 G6 W10 Pro  Core™ I7-1.8ghz 8 GB; 256 GB SSD 14""","₦ 338,300 ",https://www.jumia.com.ng/hp-probook-440-g6-w10-pro-coretm-i7-1.8ghz-8-gb-256-gb-ssd-14-44069841.html
DELL,"Latitude 5490 14"" Core I5 I5-8350U 8GB 256 GB SSD Win10 Pro","₦ 328,000 ",https://www.jumia.com.ng/dell-latitude-5490-14-core-i5-i5-8350u-8gb-256-gb-ssd-win10-pro-44328335.html
Hp,"Mini Laptop Intel Celeron 1TB HDD,4GB Ram,32GB Emmc Wins10s 11.6+Free Mouse","₦ 86,900 ",https://www.jumia.com.ng/hp-mini-laptop-intel-celeron-1tb-hdd4gb-ram32gb-emmc-wins10s-11.6free-mouse-35788960.html
Hp,Color LaserJet Enterprise M553dn Printer,"₦ 295,700 ",https://www.jumia.com.ng/hp-color-laserjet-enterprise-m553dn-printer-9585602.html
Hsdpa,Universal USB Modem 3G/4G With Card Reader Slot USB,"₦ 4,100 ",https://www.jumia.com.ng/hsdpa-universal-usb-modem-3g4g-with-card-reader-slot-usb-44320455.html
Hp,HP Ultra-Slim USB 2.4GHZ Wireless Optical Mouse (10 Meters) - Black,"₦ 1,800 ",https://www.jumia.com.ng/hp-ultra-slim-usb-2.4ghz-wireless-optical-mouse-10-meters-black-hp-mpg218571.html
Hp,"Pavillion 15  Intel Corei5 8th Gen 1TB HDD 12GB RAM USB Light+32GB Flash,- Windows10 - Smart Touchscreen","₦ 250,000 ",https://www.jumia.com.ng/hp-pavillion-15-intel-corei5-8th-gen-1tb-hdd-12gb-ram-usb-light32gb-flash-windows10-smart-touchscreen-34162681.html
Hp,"Pavilion 15-AU023CL Intel Core I5-6200U 2.3GHz (12GB RAM, 1TB HDD) 15.6-Inch Touchscreen Windows 10 + Free Bag- Mouse- Fashion Watch","₦ 199,000 ",https://www.jumia.com.ng/hp-pavilion-15-au023cl-intel-core-i5-6200u-2.3ghz-12gb-ram-1tb-hdd-15.6-inch-touchscreen-windows-10-free-bag-mouse-fashion-watch-24451779.html
Hp,"15 Intel Pentium Dualcore (500GB, 4GB RAM), WLAN, Bluetooth® 4.0, Webcam, DTS Studio Sound Windows 10","₦ 95,500 ",https://www.jumia.com.ng/hp-15-intel-pentium-dualcore-500gb-4gb-ram-wlan-bluetoothr-4.0-webcam-dts-studio-sound-windows-10-31541690.html
DELL,Inspiron 15 Intel Celeron 500GB HDD 4GB RAM Wins 10 +32GB Flash Drive,"₦ 95,500 ",https://www.jumia.com.ng/dell-inspiron-15-intel-celeron-500gb-hdd-4gb-ram-wins-10-32gb-flash-drive-27950120.html
XPrinter,"58mm Thermal PoS Printer, USB Port. (No Bluetooth)","₦ 8,500 ",https://www.jumia.com.ng/xprinter-58mm-thermal-pos-printer-usb-port.-no-bluetooth-38411953.html
Hp,"Pavilion X360 -ba153cl - 14"" Touchscreen-Intel® Core™ I5-8250U- 8GB RAM-1TB HDD-backlit Keyboard-win 10","₦ 200,000 ",https://www.jumia.com.ng/pavilion-x360-ba153cl-14-touchscreen-intelr-coretm-i5-8250u-8gb-ram-1tb-hdd-backlit-keyboard-win-10-hp-mpg293334.html
Hp,Notebook 15-bs031wm Intel® Core™ I3-7100U 2.4GHz 4GB RAM 1TB HDD 15.6 Windows 10 Laptop - Silver,"₦ 128,490 ",https://www.jumia.com.ng/hp-notebook-15-bs031wm-intelr-coretm-i3-7100u-2.4ghz-4gb-ram-1tb-hdd-15.6-windows-10-laptop-silver-37400728.html
Lenovo,Ideapad Intel Celeron (4GB RAM 1TB HDD) Wins 10 + Free Mouse,"₦ 80,500 ",https://www.jumia.com.ng/lenovo-ideapad-intel-celeron-4gb-ram-1tb-hdd-wins-10-free-mouse-44441979.html
Seagate,500GB Portable External Hard Drive,"₦ 8,980 ",https://www.jumia.com.ng/seagate-500gb-portable-external-hard-drive-43472642.html
Hp,"15 AMD DUAL CORE E2 9000e 500GB HDD, 4GB RAM, Windows 10+ Free 32gb Flash Drive","₦ 77,500 ",https://www.jumia.com.ng/hp-15-amd-dual-core-e2-9000e-500gb-hdd-4gb-ram-windows-10-free-32gb-flash-drive-26855185.html
LG,34-INCH ULTRAWIDE FULL HD IPS MONITOR 34UM61-P,"₦ 240,000 ",https://www.jumia.com.ng/34um61-p-34-inch-ultrawide-full-hd-ips-monitor-lg-mpg248904.html
Hp,"Pavilion 15 Intel Core I5 1.6 Up To 3.4Ghz (8GB RAM,1TB HDD) 15.6-Inch Windows 10 Laptop - Silver","₦ 220,500 ",https://www.jumia.com.ng/hp-pavilion-15-intel-core-i5-1.6-up-to-3.4ghz-8gb-ram1tb-hdd-15.6-inch-windows-10-laptop-silver-15641578.html
Hp,Laptop 15.6 Inch Value Topload,"₦ 4,500 ",https://www.jumia.com.ng/hp-laptop-15.6-inch-value-topload-38314685.html
Hp,64GB Pendrive Flash Drive USB 2.0,"₦ 3,990 ",https://www.jumia.com.ng/hp-64gb-pendrive-flash-drive-usb-2.0-36235059.html
